      20.0        0.0
      40.0        0.0
      60.0        0.0
      80.0        0.0
     100.0        0.0
     120.0        0.0
     140.0        0.0
     160.0        0.0
     180.0        0.0
     200.0        0.0
     220.0       20.6
     240.0       97.9
     260.0      212.5
     280.0      336.2
     300.0      442.1
     320.0      550.7
     340.0      653.0
     360.0      745.5
     380.0      871.9
     400.0     1058.6
     420.0     1281.7
     440.0     1521.1
     460.0     1748.0
     480.0     1948.4
     500.0     2156.6
     520.0     2438.6
     540.0     2650.7
     560.0     2660.8
     580.0     2654.4
     600.0     2677.6
     620.0     2656.1
     640.0     2595.9
     660.0     2592.4
     680.0     2550.4
     700.0     2465.6
     720.0     2412.6
     740.0     2431.1
     760.0     2493.0
     780.0     2548.8
     800.0     2562.7
     820.0     2524.5
     840.0     2445.8
     860.0     2355.6
     880.0     2280.4
     900.0     2238.6
     920.0     2203.8
     940.0     2121.9
     960.0     1970.2
     980.0     1762.6
    1000.0     1540.6
    1020.0     1308.1
    1040.0     1041.3
    1060.0      743.2
    1080.0      414.7
    1100.0       16.3
    1120.0        0.0
    1140.0        0.0
    1160.0        0.0
    1180.0        0.0
    1199.6        0.0
